PRODUK,JENIS_PEKERJAAN,TARGET,,,
TK1401,PRESS,5400,,,
TK1401,SANDER,4500,,,
TK1401,CHAMFER,2800,,,
TK1401,BUBUT,1250,,,
TK1401,BRUSH,2800,,,
TK1401,BENDING,2800,,,
TK1401,ROUGHING,1000,,,
,,,,,
TK1403,PRESS,4500,,,
TK1403,SANDER,6300,,,
,,,,,
TK1608,PRESS,2100,,,
,,,,,
TK1609,PRESS,3500,,,
TK1609,SANDER,4000,,,
TK1609,BUBUT,700,,,
,,,,,
TK4909,PRESS,,,,
TK4909,SANDER,,,,
,,,,,
TK5030,PRESS,A160,,,
TK5030,BARREL,0,,,
,,,,,
TK5037,PRESS,3780,,,
TK5037,SANDER,4000,,,
,,,,,
TK5041,PRESS,3400,,,
TK5041,SANDER,3200,,,
,,,,,
TK5047,PRESS,2700,,,
TK5047,SANDER,3500,,,
TK5047,SHAVING,2100,,,
TK5047,SANDER AS,4000,,,
,,,,,
TK5063A,PRESS,4900,,,
TK5063A,SANDER,4900,,,
TK5063A,BUBUT,1200,,,
TK5063A,BRUSH,,,,
,,,,,
TK5069,PRESS,1200,,,
TK5069,PIERCING-1,350,,,
TK5069,PIERCING-2,300,,,
TK5069,CHAMFER,400,,,
,,,,,
TK5070,PRESS,1200,,,
TK5070,PIERCING-1,350,,,
TK5070,PIERCING-2,300,,,
TK5070,CHAMFER,400,,,
,,,,,
TK5071-1,PRESS,a160,,,
,,,,,
TK5071-2,PRESS,,,,
,,,,,
TK5072-1,PRESS,5600,,,
,,,,,
TK5072-2,PRESS,5600,,,
,,,,,
TK5081A,PRESS,4400,,,
TK5081A,SANDER,,,,
TK5081A,CHAMFER,,,,
,,,,,
TK5082,PRESS,4500,,,
TK5082,SANDER,,,,
,,,,,
TK5091,PRESS,3500,,,
,,,,,
TK5091A,PRESS,3500,,,
,,,,,
TK5092B,PRESS,3500,,,
,,,,,
TK5125,PRESS,3780,,,
TK5125,BUBUT,550,,,
TK5125,SANDER,3780,,,
,,,,,
TK5130,PRESS,3400,,,
TK5130,SANDER,3150,,,
,,,,,
TK5132,PRESS,3500,,,
,,,,,
TK5138,PRESS,4500,,,
TK5138,SANDER,,,,
,,,,,
TK5163,PRESS,4500,,,
TK5163,SANDER,5000,,,
TK5163,BUBUT,1050,,,
TK5163,CHAMFER,,,,
TK5163,BRUSH,,,,
,,,,,
TK5210,PRESS,4500,,,
TK5210,SANDER,800,,,
TK5210,CHAMFER,1400,,,
TK5210,TAP,,,,
,,,,,
TK5220,PRESS,5670,,,
TK5220,SANDER,4500,,,
,,,,,
TK5221,PRESS,4400,,,
TK5221,SANDER,,,,
,,,,,
TK5222,PRESS,4500,,,
TK5222,SANDER,,,,
TK5222,CHAMFER,700,,,
TK5222,TAP,0,,,
,,,,,
TK5241,PRESS,5600,,,
TK5241,SANDER,3150,,,
,,,,,
KN0010,PRESS,3780,,,
KN0010,SANDER,,,,
KN0010,CHAMFER,,,,
,,,,,
KN0011,PRESS,5600,,,
KN0011,SANDER,7560,,,
KN0011,CHAMFER,2800,,,
KN0011,BUBUT,1250,,,
KN0011,BRUSH,2800,,,
KN0011,BENDING,2800,,,
,,,,,
KN0012,PRESS,5670,,,
KN0012,CHAMFER,,,,
KN0012,GRINDING,340,,,
KN0012,TAP,950,,,
,,,,,
KN0013,PRESS,4500,,,
KN0013,SANDER,1000,,,
KN0013,BENDING,2800,,,
KN0013,SHAVING,300,,,
KN0013,CHAMFER,300,,,
KN0013,MILLING,,,,
,,,,,
KN0014,PRESS,5400,,,
KN0014,SANDER,7500,,,
KN0014,BUBUT,1200,,,
KN0014,BARREL,,,,
,,,,,
KN0016,PRESS,2500,,,
KN0016,WELDING,,,,
KN0016,DEBURRING,,,,
,,,,,
KN0017,PRESS,5600,,,
KN0017,WELDING,,,,
KN0017,DEBURRING,,,,
,,,,,
KN0018,PRESS,5400,,,
KN0018,SANDER,7500,,,
,,,,,
KN0019,PRESS,150,,,
KN0019,DEBURRING,,,,
KN0019,LEVELLING,,,,
KN0019,ROTARY,,,,
KN0019,MILLING,,,,
KN0019,CHAMFER,240,,,
,,,,,
KN0020,PRESS,950,,,
KN0020,DRAWING,525,,,
KN0020,TRIMMING 1,700,,,
KN0020,FLANGE DOWN,700,,,
KN0020,TRIMMING 2,700,,,
KN0020,PRC,,,,
KN0020,EMBOS & MARKING,525,,,
KN0020,PRC HOLE,525,,,
KN0020,NOTCHING,525,,,
KN0020,CUTTING SIDE,490,,,
,,,,,
KN0021,PRESS,,,,
,,,,,
KN0022,,,,,
KN0023,PRESS,,,,
KN0023,SHAVING,2800,,,
KN0023,SANDER,,,,
KN0023,BARREL,,,,
,,,,,
KN0024,PRESS,4900,,,
KN0024,SENDER,6300,,,
,,,,,
KN0025,PRESS,160a,,,
,,,,,
KN0026,PRESS,4900,,,
KN0026,SANDER,1000,,,
,,,,,
KN0027,PRESS,3400,,,
KN0027,SANDER,3300,,,
,,,,,
KN0028,PRESS,5670,,,
